6,1,1
6,2,1
6,3,1
6,4,2
6,5,2
6,6,2
6,7,3
6,8,3
6,9,3
6,10,4
6,11,4
6,12,4
8,1,1
8,2,1
8,3,1
8,4,2
8,5,2
8,6,2
8,7,3
8,8,3
8,9,3
8,10,4
8,11,4
8,12,4
10,1,1
10,2,1
10,3,1
10,4,2
10,5,2
10,6,2
10,7,3
10,8,3
10,9,3
10,10,4
10,11,4
10,12,4
12,1,1
12,2,1
12,3,1
12,4,2
12,5,2
12,6,2
12,7,3
12,8,3
12,9,3
12,10,4
12,11,4
12,12,4
14,1,1
14,2,1
14,3,1
14,4,2
14,5,2
14,6,2
14,7,3
14,8,3
14,9,3
14,10,4
14,11,4
14,12,4
16,1,1
16,2,1
16,3,1
16,4,2
16,5,2
16,6,2
16,7,3
16,8,3
16,9,3
16,10,4
16,11,4
16,12,4
23,1,1
23,2,1
23,3,1
23,4,2
23,5,2
23,6,2
23,7,3
23,8,3
23,9,3
23,10,4
23,11,4
23,12,4
